what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gdt.eclipse.designer.GXT,2.6.0.r36x201206111253,"com.google.gdt.eclipse.designer.GXT",1366287497685
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.6.0.r36x201206111253,"com.google.gdt.eclipse.designer.SmartGWT",1366287497716
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.6.0.r36x201206111227,"com.google.gdt.eclipse.designer.UiBinder",1366287497731
started,bundle,com.google.gdt.eclipse.designer.hosted,2.6.0.r36x201206111222,"com.google.gdt.eclipse.designer.hosted",1366287497731
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1366287497731
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1366287497747
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1366287497747
started,bundle,org.eclipse.wb.core,1.5.0.r36x201206111201,"org.eclipse.wb.core",1366287497747
started,bundle,org.eclipse.wb.core.lib,1.5.0.r36x201206111201,"org.eclipse.wb.core.lib",1366287497778
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r36x201206111213,"org.eclipse.wb.discovery.core",1366287497778
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r36x201206111213,"org.eclipse.wb.discovery.ui",1366287497778
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1366287497778
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1366287497778
os,sysinfo,,,"win32",1366287497778
arch,sysinfo,,,"x86",1366287497778
ws,sysinfo,,,"win32",1366287497778
locale,sysinfo,,,"en_US",1366287497778
processors,sysinfo,,,"4",1366287497778
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366287497778
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1366287497778
java.specification.name,sysinfo,,,"Java Platform API Specification",1366287497778
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366287497778
java.specification.version,sysinfo,,,"1.7",1366287497778
java.vendor,sysinfo,,,"Oracle Corporation",1366287497778
java.version,sysinfo,,,"1.7.0_11",1366287497778
